"File","Status","Out","Length"
"D:\01_Pilot_Material_to_EBR\01_Document_Control\ПСК_1.doc","OK","C:\Users\User\Documents\Codex\2026-05-08\1-erp-gmp\pilot_extracted_utf8\01_Document_Control_ПСК_1.doc.txt","58873"
"D:\01_Pilot_Material_to_EBR\01_Document_Control\ПСК-2.doc","OK","C:\Users\User\Documents\Codex\2026-05-08\1-erp-gmp\pilot_extracted_utf8\01_Document_Control_ПСК-2.doc.txt","17894"
"D:\01_Pilot_Material_to_EBR\01_Document_Control\CОП-121.doc","OK","C:\Users\User\Documents\Codex\2026-05-08\1-erp-gmp\pilot_extracted_utf8\01_Document_Control_CОП-121.doc.txt","30047"
"D:\01_Pilot_Material_to_EBR\02_Quality_Systems\ПСК_10.docx","OK","C:\Users\User\Documents\Codex\2026-05-08\1-erp-gmp\pilot_extracted_utf8\02_Quality_Systems_ПСК_10.docx.txt","35967"
"D:\01_Pilot_Material_to_EBR\02_Quality_Systems\ПСК_5.doc","OK","C:\Users\User\Documents\Codex\2026-05-08\1-erp-gmp\pilot_extracted_utf8\02_Quality_Systems_ПСК_5.doc.txt","25198"
"D:\01_Pilot_Material_to_EBR\02_Quality_Systems\ПСК_6.docx","OK","C:\Users\User\Documents\Codex\2026-05-08\1-erp-gmp\pilot_extracted_utf8\02_Quality_Systems_ПСК_6.docx.txt","83122"
"D:\01_Pilot_Material_to_EBR\02_Quality_Systems\ПСК_8.doc","OK","C:\Users\User\Documents\Codex\2026-05-08\1-erp-gmp\pilot_extracted_utf8\02_Quality_Systems_ПСК_8.doc.txt","34610"
"D:\01_Pilot_Material_to_EBR\03_Warehouse\СОП_205.doc","OK","C:\Users\User\Documents\Codex\2026-05-08\1-erp-gmp\pilot_extracted_utf8\03_Warehouse_СОП_205.doc.txt","12525"
"D:\01_Pilot_Material_to_EBR\03_Warehouse\СОП_217.docx","OK","C:\Users\User\Documents\Codex\2026-05-08\1-erp-gmp\pilot_extracted_utf8\03_Warehouse_СОП_217.docx.txt","14614"
"D:\01_Pilot_Material_to_EBR\03_Warehouse\СОП_223.docx","OK","C:\Users\User\Documents\Codex\2026-05-08\1-erp-gmp\pilot_extracted_utf8\03_Warehouse_СОП_223.docx.txt","21990"
"D:\01_Pilot_Material_to_EBR\03_Warehouse\СОП_231.doc","OK","C:\Users\User\Documents\Codex\2026-05-08\1-erp-gmp\pilot_extracted_utf8\03_Warehouse_СОП_231.doc.txt","11920"
"D:\01_Pilot_Material_to_EBR\04_Production\СОП_409.doc","OK","C:\Users\User\Documents\Codex\2026-05-08\1-erp-gmp\pilot_extracted_utf8\04_Production_СОП_409.doc.txt","15353"
"D:\01_Pilot_Material_to_EBR\04_Production\СОП_414.doc","OK","C:\Users\User\Documents\Codex\2026-05-08\1-erp-gmp\pilot_extracted_utf8\04_Production_СОП_414.doc.txt","35435"
"D:\01_Pilot_Material_to_EBR\04_Production\СОП_415.doc","OK","C:\Users\User\Documents\Codex\2026-05-08\1-erp-gmp\pilot_extracted_utf8\04_Production_СОП_415.doc.txt","21432"
"D:\01_Pilot_Material_to_EBR\04_Production\СОП_436.doc","OK","C:\Users\User\Documents\Codex\2026-05-08\1-erp-gmp\pilot_extracted_utf8\04_Production_СОП_436.doc.txt","64807"
"D:\01_Pilot_Material_to_EBR\04_Production\СОП_461.doc","OK","C:\Users\User\Documents\Codex\2026-05-08\1-erp-gmp\pilot_extracted_utf8\04_Production_СОП_461.doc.txt","61996"
"D:\01_Pilot_Material_to_EBR\04_Production\СОП-442.doc","OK","C:\Users\User\Documents\Codex\2026-05-08\1-erp-gmp\pilot_extracted_utf8\04_Production_СОП-442.doc.txt","34810"
"D:\01_Pilot_Material_to_EBR\05_QC_QA\СОП_512.docx","OK","C:\Users\User\Documents\Codex\2026-05-08\1-erp-gmp\pilot_extracted_utf8\05_QC_QA_СОП_512.docx.txt","26652"
"D:\01_Pilot_Material_to_EBR\05_QC_QA\СОП_540.docx","OK","C:\Users\User\Documents\Codex\2026-05-08\1-erp-gmp\pilot_extracted_utf8\05_QC_QA_СОП_540.docx.txt","26335"
"D:\01_Pilot_Material_to_EBR\05_QC_QA\СОП_548.doc","OK","C:\Users\User\Documents\Codex\2026-05-08\1-erp-gmp\pilot_extracted_utf8\05_QC_QA_СОП_548.doc.txt","34783"
"D:\01_Pilot_Material_to_EBR\05_QC_QA\СОП_549.docx","OK","C:\Users\User\Documents\Codex\2026-05-08\1-erp-gmp\pilot_extracted_utf8\05_QC_QA_СОП_549.docx.txt","86008"
"D:\01_Pilot_Material_to_EBR\05_QC_QA\SOP_533.docx","OK","C:\Users\User\Documents\Codex\2026-05-08\1-erp-gmp\pilot_extracted_utf8\05_QC_QA_SOP_533.docx.txt","44520"
"D:\01_Pilot_Material_to_EBR\06_Equipment_Environment\ДПСК_607_График_обслуживания_систем_вентиляции_и_кондиционирования.doc","OK","C:\Users\User\Documents\Codex\2026-05-08\1-erp-gmp\pilot_extracted_utf8\06_Equipment_Environment_ДПСК_607_График_обслуживания_систем_вентиляции_и_кондиционирования.doc.txt","4004"
"D:\01_Pilot_Material_to_EBR\06_Equipment_Environment\ДПСК_619_Инструкция_по_эксплуатации_и_обслуживанию_Гранулятор_ред.docx","OK","C:\Users\User\Documents\Codex\2026-05-08\1-erp-gmp\pilot_extracted_utf8\06_Equipment_Environment_ДПСК_619_Инструкция_по_эксплуатации_и_обслуживанию_Гранулятор_ред.docx.txt","22015"
"D:\01_Pilot_Material_to_EBR\06_Equipment_Environment\СОП_618_Мониторинг_и_контроль_климатических_условий.doc","OK","C:\Users\User\Documents\Codex\2026-05-08\1-erp-gmp\pilot_extracted_utf8\06_Equipment_Environment_СОП_618_Мониторинг_и_контроль_климатических_условий.doc.txt","14219"
"D:\01_Pilot_Material_to_EBR\07_Personnel\ДИ_707_Должностная_инструкция_Начальник_ДКК.doc","OK","C:\Users\User\Documents\Codex\2026-05-08\1-erp-gmp\pilot_extracted_utf8\07_Personnel_ДИ_707_Должностная_инструкция_Начальник_ДКК.doc.txt","26943"
"D:\01_Pilot_Material_to_EBR\07_Personnel\ДИ_708 Должностная инструкция Начальник ДОК.doc","OK","C:\Users\User\Documents\Codex\2026-05-08\1-erp-gmp\pilot_extracted_utf8\07_Personnel_ДИ_708 Должностная инструкция Начальник ДОК.doc.txt","19513"
"D:\01_Pilot_Material_to_EBR\07_Personnel\ДИ_716_Должностная_инструкция_Технолог.doc","OK","C:\Users\User\Documents\Codex\2026-05-08\1-erp-gmp\pilot_extracted_utf8\07_Personnel_ДИ_716_Должностная_инструкция_Технолог.doc.txt","13983"
"D:\01_Pilot_Material_to_EBR\07_Personnel\ДИ_726_Должностная_инструкция_Начальник_цеха ред. 1.doc","OK","C:\Users\User\Documents\Codex\2026-05-08\1-erp-gmp\pilot_extracted_utf8\07_Personnel_ДИ_726_Должностная_инструкция_Начальник_цеха ред. 1.doc.txt","23956"
"D:\01_Pilot_Material_to_EBR\07_Personnel\ДИ_727_Должностная_инструкция_Оператора.doc","OK","C:\Users\User\Documents\Codex\2026-05-08\1-erp-gmp\pilot_extracted_utf8\07_Personnel_ДИ_727_Должностная_инструкция_Оператора.doc.txt","15580"
"D:\01_Pilot_Material_to_EBR\07_Personnel\ДИ_729_Должностная_инструкция_Зав_складом.doc","OK","C:\Users\User\Documents\Codex\2026-05-08\1-erp-gmp\pilot_extracted_utf8\07_Personnel_ДИ_729_Должностная_инструкция_Зав_складом.doc.txt","17568"
"D:\01_Pilot_Material_to_EBR\07_Personnel\ДПСК_742_Положение_об_аттестации_сотрудников.doc","OK","C:\Users\User\Documents\Codex\2026-05-08\1-erp-gmp\pilot_extracted_utf8\07_Personnel_ДПСК_742_Положение_об_аттестации_сотрудников.doc.txt","26204"
"D:\01_Pilot_Material_to_EBR\07_Personnel\П_7_Ф_2_План_внут_обучения_2026_готовый.docx","OK","C:\Users\User\Documents\Codex\2026-05-08\1-erp-gmp\pilot_extracted_utf8\07_Personnel_П_7_Ф_2_План_внут_обучения_2026_готовый.docx.txt","73674"
"D:\01_Pilot_Material_to_EBR\07_Personnel\П-7 Управление персоналом.docx","OK","C:\Users\User\Documents\Codex\2026-05-08\1-erp-gmp\pilot_extracted_utf8\07_Personnel_П-7 Управление персоналом.docx.txt","60552"
